iter	Passed	Remaining
0	57	57284
1	61	30497
2	64	21570
3	72	18054
4	79	15838
5	82	13588
6	86	12224
7	89	11095
8	90	10010
9	92	9130
10	93	8446
11	97	7995
12	98	7461
13	100	7056
14	102	6698
15	103	6357
16	105	6114
17	109	5952
18	110	5691
19	111	5468
20	112	5261
21	115	5142
22	117	4971
23	118	4800
24	120	4689
25	121	4549
26	123	4456
27	128	4460
28	130	4359
29	132	4279
30	133	4166
31	134	4061
32	135	3961
33	137	3896
34	139	3850
35	141	3781
36	144	3754
37	146	3715
38	148	3660
39	150	3609
40	151	3538
41	152	3467
42	153	3409
43	156	3389
44	159	3377
45	161	3344
46	162	3288
47	163	3232
48	164	3184
49	166	3161
50	167	3124
51	168	3080
52	172	3080
53	174	3052
54	176	3033
55	177	2992
56	179	2965
57	180	2935
58	181	2896
59	184	2883
60	188	2895
61	191	2892
62	192	2857
63	192	2822
64	193	2788
65	194	2755
66	199	2781
67	201	2760
68	205	2768
69	206	2743
70	207	2713
71	208	2688
72	210	2673
73	211	2644
74	217	2684
75	219	2664
76	220	2641
77	221	2615
78	222	2590
79	223	2565
80	223	2540
81	224	2514
82	225	2486
83	226	2467
84	230	2478
85	231	2464
86	233	2448
87	234	2433
88	236	2416
89	236	2395
90	237	2374
91	238	2355
92	239	2337
93	240	2319
94	241	2303
95	243	2297
96	245	2289
97	248	2289
98	250	2277
99	251	2260
100	252	2244
101	253	2227
102	253	2211
103	255	2198
104	256	2184
105	257	2173
106	258	2158
107	259	2145
108	261	2139
109	265	2147
110	266	2134
111	267	2124
112	269	2113
113	270	2098
114	271	2086
115	272	2073
116	273	2061
117	274	2055
118	276	2045
119	277	2034
120	278	2026
121	279	2013
122	280	2001
123	282	1997
124	283	1986
125	289	2008
126	290	1997
127	293	1996
128	294	1985
129	294	1973
130	295	1961
131	296	1951
132	297	1940
133	299	1935
134	300	1925
135	302	1920
136	304	1920
137	307	1922
138	309	1916
139	310	1908
140	311	1898
141	312	1886
142	313	1876
143	314	1866
144	316	1868
145	318	1864
146	320	1860
147	321	1851
148	323	1846
149	324	1839
150	325	1831
151	328	1835
152	330	1827
153	333	1832
154	335	1826
155	337	1823
156	338	1817
157	339	1809
158	340	1800
159	341	1792
160	341	1781
161	342	1774
162	343	1765
163	347	1771
164	348	1765
165	350	1760
166	351	1753
167	352	1747
168	353	1740
169	354	1732
170	355	1724
171	356	1716
172	357	1708
173	358	1703
174	359	1695
175	363	1701
176	364	1695
177	366	1691
178	367	1686
179	368	1680
180	369	1673
181	371	1667
182	371	1660
183	372	1652
184	373	1646
185	378	1657
186	380	1654
187	382	1651
188	384	1648
189	385	1641
190	387	1641
191	388	1634
192	389	1628
193	390	1622
194	391	1615
195	394	1619
196	396	1614
197	397	1611
198	398	1605
199	399	1598
200	400	1591
201	401	1585
202	402	1578
203	403	1574
204	404	1569
205	406	1567
206	408	1564
207	409	1560
208	410	1555
209	412	1552
210	413	1546
211	414	1540
212	415	1534
213	417	1532
214	419	1531
215	422	1534
216	424	1531
217	426	1529
218	427	1525
219	428	1519
220	429	1513
221	430	1507
222	431	1501
223	431	1496
224	432	1489
225	433	1485
226	434	1480
227	437	1481
228	439	1481
229	442	1480
230	442	1474
231	443	1468
232	444	1463
233	445	1458
234	446	1453
235	447	1448
236	448	1443
237	449	1438
238	450	1433
239	451	1430
240	453	1427
241	454	1423
242	455	1418
243	456	1413
244	457	1410
245	458	1405
246	459	1400
247	460	1396
248	461	1392
249	462	1388
250	463	1384
251	464	1380
252	465	1375
253	469	1378
254	470	1374
255	472	1371
256	474	1370
257	475	1367
258	476	1363
259	477	1358
260	478	1355
261	480	1352
262	481	1348
263	482	1344
264	483	1341
265	484	1338
266	486	1334
267	487	1330
268	488	1326
269	488	1321
270	489	1317
271	490	1312
272	491	1309
273	492	1305
274	494	1304
275	496	1301
276	497	1299
277	499	1296
278	500	1292
279	500	1288
280	501	1283
281	502	1279
282	503	1275
283	504	1271
284	504	1266
285	506	1264
286	507	1261
287	508	1257
288	509	1253
289	510	1249
290	511	1245
291	512	1241
292	513	1238
293	514	1235
294	515	1232
295	516	1228
296	517	1224
297	518	1220
298	519	1216
299	519	1212
300	520	1209
301	521	1205
302	522	1202
303	524	1200
304	525	1198
305	527	1195
306	528	1192
307	528	1188
308	529	1184
309	530	1180
310	531	1177
311	532	1174
312	533	1170
313	534	1167
314	535	1164
315	537	1162
316	538	1160
317	539	1157
318	540	1153
319	541	1150
320	542	1147
321	543	1144
322	544	1141
323	545	1138
324	546	1135
325	547	1132
326	548	1128
327	549	1125
328	550	1121
329	550	1118
330	551	1115
331	552	1111
332	554	1109
333	555	1107
334	556	1104
335	557	1102
336	559	1100
337	560	1097
338	561	1094
339	562	1091
340	562	1087
341	563	1084
342	565	1083
343	566	1079
344	567	1076
345	568	1074
346	569	1072
347	571	1070
348	572	1067
349	573	1064
350	574	1061
351	574	1058
352	575	1054
353	576	1051
354	577	1048
355	577	1045
356	578	1042
357	580	1040
358	580	1037
359	582	1034
360	583	1032
361	584	1029
362	586	1028
363	587	1025
364	587	1022
365	589	1020
366	589	1017
367	591	1015
368	592	1012
369	592	1009
370	593	1006
371	594	1004
372	595	1001
373	596	998
374	597	996
375	598	993
376	599	990
377	600	988
378	601	985
379	602	982
380	603	980
381	604	978
382	605	975
383	606	972
384	607	970
385	608	967
386	608	964
387	609	961
388	610	959
389	611	956
390	612	954
391	613	952
392	614	949
393	615	947
394	617	945
395	618	943
396	619	940
397	620	938
398	621	935
399	623	934
400	624	932
401	625	930
402	626	927
403	627	925
404	628	922
405	630	922
406	631	920
407	632	917
408	633	914
409	634	912
410	634	909
411	635	907
412	636	904
413	637	902
414	638	899
415	639	898
416	640	895
417	643	895
418	644	893
419	645	891
420	646	888
421	647	886
422	648	884
423	649	881
424	649	879
425	650	876
426	651	874
427	652	871
428	653	869
429	654	867
430	655	865
431	656	862
432	658	861
433	659	860
434	660	857
435	661	856
436	662	853
437	663	851
438	664	849
439	665	847
440	666	844
441	667	842
442	668	840
443	669	838
444	670	836
445	671	834
446	673	832
447	675	832
448	676	830
449	677	828
450	678	826
451	679	824
452	680	822
453	682	820
454	683	818
455	684	816
456	685	814
457	686	812
458	688	811
459	689	809
460	690	807
461	691	804
462	692	803
463	693	801
464	694	799
465	695	797
466	696	795
467	697	793
468	698	791
469	700	789
470	701	787
471	702	785
472	703	783
473	704	781
474	704	779
475	705	776
476	707	775
477	707	773
478	708	770
479	709	768
480	710	766
481	711	764
482	712	762
483	713	760
484	714	758
485	718	759
486	719	758
487	720	756
488	721	754
489	723	752
